,path,transcript,duration
0,881897068939900.mp3,dạ mobifone xin nghe em là minh anh có thể giúp được gì cho anh chị ạ chị kiểm tra giùm em cái số điện thoại này gọi lên đó em mới cài ba g d mười á mà không hoạt động nó không chạy được luôn á ch...,45.12
1,881897068939901.mp3,dạ mobifone xin nghe em tên lý xin phép hỗ trợ anh chị ạ em ơi cho chị hỏi là cái sim của chị sao không có gửi được tin nhắn báo lỗi ba tám là sao số điện thoại chị đang gọi cho em đúng không ạ đú...,145.02
2,881897068939902.mp3,dạ mobifone xin nghe em là xuân có thể giúp gì cho anh chị ạ à xin cho hỏi cái số cái số mà không ba bảy ba chín năm ba tám không rồi sao mà bây giờ gọi không được là sao anh đọc lại số giúp em vớ...,128.52
3,881897068939903.mp3,dạ mobifone xin nghe em tên trân xin phép hỗ trợ cho anh chị ừ anh có sử dụng dịch vụ chuyển tiền là không chín cái sim nói như thế nào nếu được duy trì dạ muốn kiểm tra tài khoản mobile nhá tài k...,54.6
4,881897068939904.mp3,dạ mobifone xin nghe em là dung em có thể hỗ trợ gì cho anh chị ây em đăng ký giùm cho chị cái mạng mà bốn g mà tháng chín chục ngàn á em mà sao sao hồi sáng hồi trưa nay mới đăng ký cho chị mười ...,90.9
5,881897068939905.mp3,dạ em cám ơn vì đã chờ máy ạ rồi dạ em xin lỗi vì chờ máy lâu nha thì à ừ cái này là cục trưởng ừ cục trưởng cảnh sát quảng ninh hành chính và chữ đằng sau nữa là chữ viết tắt đó anh ừ chào e dạ h...,272.1
6,881897068939906.mp3,dạ mobifine xin nghe ạ dạ em tên đào em có thể giúp gì cho anh chị ạ alo chị kiểm tra giúp em để em hỏi là cái số này có vô được cái gói dạ ừ rồi cái gói một trăm hai không dạ vâng số chị đang gọi...,78.9
7,881897068939907.mp3,dạ mobifine xin nghe ạ dạ em là đào ngọc liên đào em có thể giúp gì cho anh chị ạ alo chị kiểm tra giúp anh chị tổng đài số thuê bao này có đăng ký c một chín mươi n chưa số đang gọi hỏi có đăng k...,26.94
8,881897068939908.mp3,dạ mobifone xin nghe em tên trân xin phép hỗ trợ anh chị ạ alo ai dạ mobile à dạ hiện tại mình đang gọi chị đang gọi lên tổng đài mobifone á thì đang cần hỗ trợ thông tin nào về sản phẩm dịch vụ c...,15.72
9,881897068939909.mp3,alo dạ anh ơi em có cập nhật gói cước mười hai tháng cộng hai tháng cho anh trong tài khoản nãy em nạp một triệu tư rồi nó còn dư bốn chục ngàn trong tài khoản của anh nha thì em tắt nguồn máy em ...,62.52
10,881897068939910.mp3,dạ mobifone xin nghe em tên khang có thể hỗ trợ gì cho anh chị ờ em ơi cho anh hỏi cái thuê bao của anh bây giờ có chương trình nào ứng tiền được không ứng tiền số đang gọi hay sao ạ đúng rồi dạ đ...,113.76
11,881897068939911.mp3,dạ mobifone xin nghe em tên dung em xin phép hỗ trợ anh chị à à em hỗ trợ cái vụ gói cưới đăng ký lại á dạ số đang gọi lên tổng đài là anh muốn đăng ký lại gói cước c chín mươi n cũ trước đó anh c...,109.8
12,881897068939912.mp3,alo em chào anh ạ em tên thắm em gọi ra từ bộ phận chăm sóc khách hàng nhà mạng di động mobifone dạ nhằm nâng cao chất lượng chăm sóc khách hàng anh cho em xin một phút để tiếp chuyện với mình đượ...,45.72
13,881897068939913.mp3,dạ mobifone xin nghe ạ em tên là kim em ạ em xin phép hỗ trợ cho anh chị à em ơi em kiểm tra giùm anh cái thuê bao này à số điện thoại nó có vấn đề gì không mà số điện thoại nào anh cũng gọi được ...,133.8
14,881897068939914.mp3,dạ mobifone xin nghe em là thanh em có thể giúp được gì cho anh chị ạ dạ alo tổng đài xin nghe dạ alo ạ rất tiếc điện tổng đài không nhận được tín hiệu từ quý khách hàng tổng đài xin phép được gác...,37.38
15,881897068939915.mp3,em cám ơn anh huy đã chờ máy anh huy ơi số đấy chưa chuyển được nói nói cắt mạng tháng ba ừ chưa đủ tiền chuyển hay sao dạ chưa có hoạt động đủ ba trăm sáu năm ngày rồi rồi cho anh hỏi cái gói cs ...,69.23
16,881897068939916.mp3,dạ alo alo dạ em chào chị em gọi đến từ bộ phận chăm sóc khách hàng của mobifone ạ dạ để đồng hành cùng chương trình chuyển đổi số quốc gia cũng như hỗ trợ chị cập nhật lại thông tin chính xác the...,38.28
17,881897068939917.mp3,dạ em cám ơn chị huyền đã giữ máy ạ dạ hiện tại em kiểm tra thuê bao của mình có thể bị trường hợp bị lời nhắn thoại á chị chị soạn tin nhắn giúp em được không ạ soạn tin nhắn hả dạ chị soạn tin n...,75.18
18,881897068939918.mp3,dạ mobile xin nghe em tên kiệt có thể giúp gì cho anh chị ạ à chị là chị lan số thuê bao chị gọi lên tổng đài mà ủa chị đăng ký gọi nội mạng mà sao mấy cái mạng mobifone mà sao chị gọi không được ...,45.12
19,881897068939919.mp3,dạ mobifone xin nghe em tên nhân có thể hỗ trợ được vấn đề gì cho anh chị ạ kiểm tra lại cái gói cước sim này xem đăng ký wifi á gói nào ừ dạ rồi có số đang gọi lên tổng đài đúng không ạ dạ dạ rồi...,99.06
20,881897068939920.mp3,dạ mobifone xin nghe em tên nhàn em xin phép hỗ trợ anh chị ạ à chị ơi cho em hỏi cái số điện thoại này của em nó có đăng ký bốn g á chị chị kiểm tra chị hủy giùm em được không chị số đang gọi đến...,120.54
